date_index,date,synnytyksen jälkeinen masennus
2015010100,2015-01-01 00:00:00,0
2015010101,2015-01-01 01:00:00,0
2015010102,2015-01-01 02:00:00,12
2015010103,2015-01-01 03:00:00,0
2015010104,2015-01-01 04:00:00,0
2015010105,2015-01-01 05:00:00,0
2015010106,2015-01-01 06:00:00,0
2015010107,2015-01-01 07:00:00,0
2015010108,2015-01-01 08:00:00,6
2015010109,2015-01-01 09:00:00,0
2015010110,2015-01-01 10:00:00,6
2015010111,2015-01-01 11:00:00,2
2015010112,2015-01-01 12:00:00,5
2015010113,2015-01-01 13:00:00,9
2015010114,2015-01-01 14:00:00,2
2015010115,2015-01-01 15:00:00,0
2015010116,2015-01-01 16:00:00,0
2015010117,2015-01-01 17:00:00,2
2015010118,2015-01-01 18:00:00,6
2015010119,2015-01-01 19:00:00,8
2015010120,2015-01-01 20:00:00,3
2015010121,2015-01-01 21:00:00,2
2015010122,2015-01-01 22:00:00,3
2015010123,2015-01-01 23:00:00,0
2015010200,2015-01-02 00:00:00,0
2015010201,2015-01-02 01:00:00,0
2015010202,2015-01-02 02:00:00,14
2015010203,2015-01-02 03:00:00,0
2015010204,2015-01-02 04:00:00,0
2015010205,2015-01-02 05:00:00,0
2015010206,2015-01-02 06:00:00,0
2015010207,2015-01-02 07:00:00,2
2015010208,2015-01-02 08:00:00,8
2015010209,2015-01-02 09:00:00,0
2015010210,2015-01-02 10:00:00,0
2015010211,2015-01-02 11:00:00,3
2015010212,2015-01-02 12:00:00,0
2015010213,2015-01-02 13:00:00,0
2015010214,2015-01-02 14:00:00,0
2015010215,2015-01-02 15:00:00,0
2015010216,2015-01-02 16:00:00,2
2015010217,2015-01-02 17:00:00,0
2015010218,2015-01-02 18:00:00,5
2015010219,2015-01-02 19:00:00,2
2015010220,2015-01-02 20:00:00,3
2015010221,2015-01-02 21:00:00,0
2015010222,2015-01-02 22:00:00,0
2015010223,2015-01-02 23:00:00,4
2015010300,2015-01-03 00:00:00,0
2015010301,2015-01-03 01:00:00,0
2015010302,2015-01-03 02:00:00,0
2015010303,2015-01-03 03:00:00,0
2015010304,2015-01-03 04:00:00,0
2015010305,2015-01-03 05:00:00,9
2015010306,2015-01-03 06:00:00,0
2015010307,2015-01-03 07:00:00,0
2015010308,2015-01-03 08:00:00,0
2015010309,2015-01-03 09:00:00,4
2015010310,2015-01-03 10:00:00,0
2015010311,2015-01-03 11:00:00,2
2015010312,2015-01-03 12:00:00,0
2015010313,2015-01-03 13:00:00,2
2015010314,2015-01-03 14:00:00,0
2015010315,2015-01-03 15:00:00,0
2015010316,2015-01-03 16:00:00,0
2015010317,2015-01-03 17:00:00,2
2015010318,2015-01-03 18:00:00,10
2015010319,2015-01-03 19:00:00,17
2015010320,2015-01-03 20:00:00,22
2015010321,2015-01-03 21:00:00,6
2015010322,2015-01-03 22:00:00,13
2015010323,2015-01-03 23:00:00,7
2015010400,2015-01-04 00:00:00,0
2015010401,2015-01-04 01:00:00,0
2015010402,2015-01-04 02:00:00,0
2015010403,2015-01-04 03:00:00,44
2015010404,2015-01-04 04:00:00,100
2015010405,2015-01-04 05:00:00,10
2015010406,2015-01-04 06:00:00,0
2015010407,2015-01-04 07:00:00,4
2015010408,2015-01-04 08:00:00,13
2015010409,2015-01-04 09:00:00,4
2015010410,2015-01-04 10:00:00,2
2015010411,2015-01-04 11:00:00,4
2015010412,2015-01-04 12:00:00,5
2015010413,2015-01-04 13:00:00,2
2015010414,2015-01-04 14:00:00,2
2015010415,2015-01-04 15:00:00,5
2015010416,2015-01-04 16:00:00,7
2015010417,2015-01-04 17:00:00,0
2015010418,2015-01-04 18:00:00,1
2015010419,2015-01-04 19:00:00,1
2015010420,2015-01-04 20:00:00,3
2015010421,2015-01-04 21:00:00,6
2015010422,2015-01-04 22:00:00,13
2015010423,2015-01-04 23:00:00,0
2015010500,2015-01-05 00:00:00,7
2015010501,2015-01-05 01:00:00,20
2015010502,2015-01-05 02:00:00,0
2015010503,2015-01-05 03:00:00,0
2015010504,2015-01-05 04:00:00,0
2015010505,2015-01-05 05:00:00,0
2015010506,2015-01-05 06:00:00,0
2015010507,2015-01-05 07:00:00,2
2015010508,2015-01-05 08:00:00,0
2015010509,2015-01-05 09:00:00,2
2015010510,2015-01-05 10:00:00,0
2015010511,2015-01-05 11:00:00,0
2015010512,2015-01-05 12:00:00,3
2015010513,2015-01-05 13:00:00,0
2015010514,2015-01-05 14:00:00,2
2015010515,2015-01-05 15:00:00,5
2015010516,2015-01-05 16:00:00,6
2015010517,2015-01-05 17:00:00,0
2015010518,2015-01-05 18:00:00,4
2015010519,2015-01-05 19:00:00,8
2015010520,2015-01-05 20:00:00,8
2015010521,2015-01-05 21:00:00,0
2015010522,2015-01-05 22:00:00,0
2015010523,2015-01-05 23:00:00,0
2015010600,2015-01-06 00:00:00,0
2015010601,2015-01-06 01:00:00,10
2015010602,2015-01-06 02:00:00,0
2015010603,2015-01-06 03:00:00,0
2015010604,2015-01-06 04:00:00,0
2015010605,2015-01-06 05:00:00,0
2015010606,2015-01-06 06:00:00,0
2015010607,2015-01-06 07:00:00,0
2015010608,2015-01-06 08:00:00,0
2015010609,2015-01-06 09:00:00,2
2015010610,2015-01-06 10:00:00,3
2015010611,2015-01-06 11:00:00,2
2015010612,2015-01-06 12:00:00,2
2015010613,2015-01-06 13:00:00,8
2015010614,2015-01-06 14:00:00,8
2015010615,2015-01-06 15:00:00,6
2015010616,2015-01-06 16:00:00,0
2015010617,2015-01-06 17:00:00,3
2015010618,2015-01-06 18:00:00,5
2015010619,2015-01-06 19:00:00,1
2015010620,2015-01-06 20:00:00,2
2015010621,2015-01-06 21:00:00,6
2015010622,2015-01-06 22:00:00,7
2015010623,2015-01-06 23:00:00,5
2015010700,2015-01-07 00:00:00,0
2015010701,2015-01-07 01:00:00,0
2015010702,2015-01-07 02:00:00,0
2015010703,2015-01-07 03:00:00,0
2015010704,2015-01-07 04:00:00,0
2015010705,2015-01-07 05:00:00,0
2015010706,2015-01-07 06:00:00,0
2015010707,2015-01-07 07:00:00,2
2015010708,2015-01-07 08:00:00,0
2015010709,2015-01-07 09:00:00,2
2015010710,2015-01-07 10:00:00,16
2015010711,2015-01-07 11:00:00,0
2015010712,2015-01-07 12:00:00,4
2015010713,2015-01-07 13:00:00,0
2015010714,2015-01-07 14:00:00,2
2015010715,2015-01-07 15:00:00,2
2015010716,2015-01-07 16:00:00,3
2015010717,2015-01-07 17:00:00,3
2015010718,2015-01-07 18:00:00,1
2015010719,2015-01-07 19:00:00,9
2015010720,2015-01-07 20:00:00,2
2015010721,2015-01-07 21:00:00,0
2015010722,2015-01-07 22:00:00,11
2015010723,2015-01-07 23:00:00,6
2015010800,2015-01-08 00:00:00,0
2015010801,2015-01-08 01:00:00,24
2015010802,2015-01-08 02:00:00,0
2015010803,2015-01-08 03:00:00,24
